name,alias,iata,icao,country,active
1-2-go,fly 1-2-go,OG,,Thailand,N
12 North,,12,N12,India,Y
135 Airways,,,GNL,United States,N
1Time Airline,,1T,RNX,South Africa,Y
2 Sqn No 1 Elementary Flying Training School,,,WYT,United Kingdom,N
213 Flight Unit,,,TFU,Russia,N
223 Flight Unit State Airline,,,CHD,Russia,N
224th Flight Unit,,,TTF,Russia,N
247 Jet Ltd,,,TWF,United Kingdom,N
3 Valleys Airlines,,3V,VA3,France,N
3D Aviation,,,SEC,United States,N
40-Mile Air,,Q5,MLA,United States,Y
4D Air,,,QRT,Thailand,N
611897 Alberta Limited,,,THD,Canada,N
84 Squadron Royal Air Force @ RAF Akrotiri,,,AKG,United Kingdom,N
88,,47,VVN,Cyprus,Y
A J Services,,,AJA,United Kingdom,N
A-Safar Air Services,,,SFM,Nigeria,N
A2 Jet Leasing,,,AJJ,United States,N
AASANA,,,XXV,Bolivia,N
Aba Air,,,ABP,Czech Republic,N
Ababeel Aviation,,,BBE,Sudan,N
Abacus International,,1B,,Singapore,Y
Abaet,,,ABJ,Brazil,N
Abakan-Avia,,,ABG,Russia,N
Aban Air,,K5,ABE,Iran,n
Abas,,,MRP,Czech Republic,N
ABC Aerolineas,,,AIJ,Mexico,N
ABC Air Hungary,,,AHU,Hungary,N
ABC Bedarsflug,,,FTY,Austria,N
Abelag Aviation,,W9,AAB,Belgium,N
Abicar,,,ADJ,Ivory Coast,N
Aboitiz Air,,,BOI,Philippines,N
ABSA - Aerolinhas Brasileiras,,M3,TUS,Brazil,Y
Abu Dhabi Amiri Flight,,MO,AUH,United Arab Emirates,Y
ABX Air,,GB,ABX,United States,N
AC Challenge Aero,,,CHG,Ukraine,N
AC Insat-Aero,,,IAE,Russia,N
ACA-Ancargo Air Sociedade de Transporte de Carga Lda,,,NCL,Angola,N
Academy Airlines,,,ACD,United States,N
Access Air,,ZA,CYD,United States,Y
ACEF,,,CFM,Portugal,N
ACES Colombia,,,AES,Colombia,Y
ACM Air Charter,,,BVR,Germany,N
ACM Aviation,,,BJT,United States,N
ACT Havayollari,,,RUN,Turkey,N
Action Air,,,ORS,Italy,N
Action Airlines (Action Air Charter),,,AXQ,United States,N
Active Aero Charter,,,AVR,ACTIVE AERO,N
Acvila Air-Romanian Carrier,,,RRM,Romania,N
AD Aviation,,,VUE,United Kingdom,Y
Ada Air,,ZY,ADE,Albania,Y
Adam Air,,KI,DHI,Indonesia,Y
ADC Airlines,,Z7,ADK,Nigeria,N
Addis Air Cargo Services,,,DSC,Ethiopia,N
Adler Aviation,,,SWH,Canada,N
Adria Airways,,JP,ADR,Slovenia,Y
Advance Air Charters,,,ADV,Canada,N
Advance Aviation Services,,,XTJ,United States,N
Advance Leasing Company,,4G,,United States,N
Advanced Air Co.,,,ADD,Japan,N
Adygeya Airlines,,,RDD,Russia,N
Aegean Airlines,,A3,AEE,Greece,Y
Aer Arann,,RE,REA,Ireland,Y
Aer Lingus,,EI,EIN,Ireland,Y
Aer Turas,,,ATT,Ireland,N
Aerea Flying Training Organization,,,ADG,Spain,N
Aereo Taxi Paraza,,,PZA,Mexico,N
Aereonautica militare,,JY,AXZ,Italy,Y
Aereos Limited,,,FST,United Kingdom,N
Aereotaxis,,,TXI,Mexico,N
AERFI Group,,,AGP,Ireland,N
Aerial Oy,,,ABF,Finland,N
Aerial Surveys (1980) Limited,,,SUY,New Zealand,N
Aerial Transit Company,,,AEZ,United States,N
Aeriantur-M,,,MBV,Moldova,N
Aeris Gestion,,,RIS,Spain,N
Aerlineas Centauro,,,CTR,Mexico,N
Aerlineas Del Oeste,,,AST,Mexico,N
Aerloineas de Techuacan,,,HUC,Mexico,N
Aermarche,,,MMC,Italy,N
Aero 1 Pro-Jet,,,SSM,Canada,N
Aero Africa,,,RFC,Swaziland,N
Aero Air,,,WIL,United States,N
Aero Airline,,,ILK,Kazakhstan,N
Aero Airlines,,EE,EAY,Estonia,N
Aero Albatros,,,ABM,Spain,N
Aero Algarve,,,DSK,Portugal,N
Aero Asia International,,E4,RSO,Pakistan,N
